id,chapter,zoom,image,source-credit,source-link,description,lon,lat,address
1,Facebook,15,img/Facebook156University.jpg,https://www.google.com/search?q=156+university+avenue+facebook&source=lnms&tbm=isch&sa=X&ved=0ahUKEwid4LeNgajTAhVKrVQKHQATBT8Q_AUICCgD&biw=1680&bih=891&dpr=1#imgrc=y8ylsqCltSR6_M:,,"In 2004, when Facebook was then known as thefacebook.com, they leased space at 156 University Avenue, in Downtown Palo Alto.  ",-122.16328,37.444202,"156 UNIVERSITY AVE, PALO ALTO, CA, 94301"
2,Facebook,17,img/FaceBook471Emerson.jpg,http://www.businessinsider.com/facebook-history-photos-2016-9/#that-office-right-in-downtown-palo-alto-was-incredibly-unassuming-see-that-glass-door-no-471-that-led-to-a-set-of-stairs-that-would-take-you-up-to-the-space-i-briefly-worked-for-a-company-that-would-use-the-same-office-space-years-later-theres-a-good-sushi-place-around-the-corner-10,http://www.lifewithfive.com/20-tech-companies-with-roots-in-palo-alto/,"In Feb 2005, Facebook leased 471 Emerson at the corner of Emerson and University Avenue. ",-122.16318,37.44495,"471 EMERSON ST, PALO ALTO, CA, 94301"
3,Facebook,15,img/FaceBook164hamilton.jpg,https://www.google.com/search?q=164+Hamilton++avenue+facebook&source=lnms&tbm=isch&sa=X&ved=0ahUKEwjDvYCBhKjTAhVSz2MKHZdTAk4Q_AUICCgD&biw=1680&bih=891#imgrc=h5ETrVR32O0ZpM:,,,-122.16194,37.443497,"164 HAMILTON AVE, PALO ALTO, CA, 94301"
4,Facebook,17,,https://42floors.com/images/H2a6fad893626809263a001a3f2b63f489c06f496B505153OS780x520%2AW0se/f7615da8f153c8c5d3eb9448e53741f19a1b88e2,https://www.paloaltoonline.com/print/story/2008/02/27/downtown-gets-boost-from-facebook-influx,"Facebook's purchase of several offices in a small patch of downtown has caused commercial rents to increase 20 to 25 percent in the last year, according to realtor Sam Arsan, whose Menlo Park-based Arsan Realty rents downtown properties.  Located in Palo Alto since 2004, the technology firm now has four offices within a stone's throw of each other, at 156 and 151 University Ave. and 164 and 285 Hamilton Ave. ",-122.163826,37.44368,"101 UNIVERSITY AVE, PALO ALTO, CA, 94301"
5,Facebook,15,,,http://gawker.com/284714/facebook-takes-over-palo-alto,"In addition to their main offices at 156 University Avenue and 164 Hamilton Ave, they recently opened up a third office across the street at 151 University, and will expand into another building on Hamilton sometime this fall. Add to that its $600-a-month subsidy to employees who live within a mile of the office, and the company's affecting rents, too. ",-122.16335,37.44415,"151 UNIVERSITY AVE, PALO ALTO, CA, 94301"
6,Facebook,14,img/FaceBook1601CaliforniaAve.jpg,http://www.businessinsider.com/facebook-history-photos-2016-9/#that-office-right-in-downtown-palo-alto-was-incredibly-unassuming-see-that-glass-door-no-471-that-led-to-a-set-of-stairs-that-would-take-you-up-to-the-space-i-briefly-worked-for-a-company-that-would-use-the-same-office-space-years-later-theres-a-good-sushi-place-around-the-corner-10,https://www.paloaltoonline.com/news/2008/08/18/facebook-to-move-to-stanford-research-park,"To accommodate its rapid growth the firm will move to 1601 California Ave. — a roughly eight-and-a-half-acre, 152,000-square-foot site — in the first quarter of 2009, Facebook spokesperson Debbie Frost said in e-mail statements. ..The new site is a former Hewlett-Packard (HP) building later occupied by HP's instruments-manufacturing spin-off, Agilent. The site is slated for eventual conversion to housing under a 2005 agreement between the city and Stanford University. ",-122.1525,37.417046,"1601 S CALIFORNIA AVE, PALO ALTO, CA, 94306"
7,Facebook,15,img/FaceBook1050PageMillRd.jpg,https://www.google.com/search?q=1050+Page+Mill+Road+Facebook&source=lnms&tbm=isch&sa=X&ved=0ahUKEwizwouzhKjTAhVL6mMKHe_iCCgQ_AUICCgD&biw=1680&bih=891#imgrc=U6-Oxu3zSTd4rM:,http://www.costar.com/News/Article/Facebook-Signs-265000-SF-Sublease-in-Palo-Alto/117224,"Dec 2009: Social networking giant Facebook agreed to sublease approximately 265,000 square feet in four R&D buildings at 1050 Page Mill Road in Palo Alto, CA, from Beckman Coulter Inc.",-122.14591,37.4185,"1050 PAGE MILL RD, PALO ALTO, CA, 94304"
8,Oracle,15,img/oracle-aerial-bang.jpg,http://www.siliconbeat.com/wp-content/uploads/2015/09/oracle-aerial-bang.jpg,https://www.theguardian.com/business/2009/apr/20/sun-microsystems-oracle-takeover,Oracle acquired Sun Microsystems in April 2009 along with their Menlo Park Camus that eventually became the Facebook Campus in 2011.,-122.26705,37.529137,"500 ORACLE PKWY, REDWOOD CITY, CA, 94065"
9,Facebook,15,img/FacebookCampusMenloPark.jpg,,http://latimesblogs.latimes.com/technology/2011/02/facebook-moving-headquarters-from-palo-alto-to-menlo-park-old-sun-microsystems-campus.html,Facebook Menlo Park Campus,-122.1478917,37.4845692,"1 Hacker Way, Menlo Park, CA 94025, USA"
10,YouTube,15,img/YoutubeHQSanMateo.jpg,,,Youtube in San Mateo,-122.32472,37.563896,"71 E 3RD AVE, SAN MATEO, CA, 94401"
11,YouTube,15,img/Youtube_HQ_9.jpg,,,"YouTube arrived in San Bruno in November 2006 after Google acquired the company for $1.65 billion. The company was a year old and being run by a small staff above a pizzeria in downtown San Mateo. Now, the company has more than doubled the staff to 200.",-122.4254,37.627663,"901 CHERRY AVE, SAN BRUNO, CA, 94066"
12,Wal-Mart.com,15,img/Wal-MartSanBruno.jpg,https://media.glassdoor.com/o/c7/50/e6/e0/san-bruno-campus-cherry-ave.jpg,http://www.bizjournals.com/sanfrancisco/stories/2010/05/03/story1.html,,-122.424835,37.626778,"850 CHERRY AVE, SAN BRUNO, CA, 94066"
